,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC1,PC2,PC3,CoinName,class
ARCO,Scrypt,PoW/PoS,2449577.41533168,42000000.0,-0.41220263818969,0.8232472751280284,0.35731821910287637,AquariusCoin,2
KURT,X11,PoW,61364813.0,228000000.0,-0.2796414718028105,0.7686371080963752,-0.7527132696692107,Kurrent,2
XCRE,PoS,PoS,20000000.0,20000000.0,0.1590540867013601,-1.2107683824166646,-0.8696169619529391,Creatio,4
ENT,X11,PoW/PoS,6069482.07721352,60000000.0,-0.47336249608933245,1.3378845593011262,-0.11562522536769393,Eternity,2
EUC,SHA-256,PoW/PoS,12416554.0,20000000.0,-0.3815762677464043,0.5659413503862847,0.5937611304570113,Eurocoin,2
BCF,Scrypt,PoW/PoS,20244023.640728,33000000.0,-0.4120245929417982,0.823288963190401,0.35729783117520364,BitcoinFast,2
XSN,X11,TPoS,75590369.0,76500000.0,-0.9182331609573406,2.6676683867183577,1.3717928072122247,Stakenet,2
BCCOIN,Scrypt,PoW/PoS,11080722.3769581,28000000.0,-0.41221393587898614,0.8232471513614374,0.3572873777221074,BitConnect Coin,2
MONEY,Scrypt,PoW/PoS,10914418.0,650659833.0,-0.40590504548351225,0.8245613972232688,0.3586414812870976,MoneyCoin,2
XNG,X11,PoW/PoS,814671.0,5000000.0,-0.4739995047301359,1.3377504980137167,-0.11574459278579863,Enigma,2
XCI,CryptoNight,PoW,978145.0,21000000.0,-0.0012501399649920003,-1.590529381735872,1.414675441980004,Cannabis Industry Coin,0
RC,Scrypt,PoW/PoS,8377873.0,144000000.0,-0.41107903659376444,0.8234828790531872,0.35753976636885537,Russiacoin,2
PND,Scrypt,PoS,33813143821.8337,32514916898.0,0.9384004384088711,-0.5123047527845132,-1.2734818253948392,PandaCoin,4
UNITS,Scrypt,PoW/PoS,3472983.0,13000000.0,-0.4124811016089883,0.8231895291021778,0.35725510600361704,GameUnits,2
GAKH,Scrypt,PoW/PoS,3315789.0,3315789.0,-0.4125816414537065,0.8231685437004569,0.35723405299269717,GAKHcoin,2
ASAFE2,Quark,PoS,10517772.7391666,15000000.0,0.13327779805674056,-0.9964000617637422,-1.0667034104004258,Allsafe,4
LTCR,QuBit,PoW/PoS,30227750.0,78835200.0,-0.3704775297756496,0.4803618487812348,0.6727186665552053,LiteCreed,2
OS76,Scrypt,PoW,894026.0,2714286.0,-0.22144298933791365,0.25336821335017917,-0.2802180027106241,OsmiumCoin,2
BIC,CryptoNight,PoW,9357088.0,25000000.0,-0.0010828023842453655,-1.5904923567695555,1.4146837566903854,Bikercoins,0
HXX,Lyra2RE,PoW,1876146.4435959999,9999999.0,-0.10367652786152877,-0.7329046655107913,0.6263474407042415,HexxCoin,0
KED,Scrypt,PoW/PoS,23965372.0,500000000.0,-0.40723467316939,0.8242877764413803,0.35831324369824036,Klingon Empire Darsek,2
IOP,SHA-256,PoW/PoS,2526078.47525448,21000000.0,-0.38171579728736327,0.5659097279869151,0.5937637585130523,Internet of People,2
